rozklad,n,k,metoda,czas,liczba porównań punktów,liczba porównań współrzędnych,liczba punktów niezdominowanych
jednostajny,100,2,punkt_idealny,0.00035699992440640926,170,292,7
jednostajny,100,2,klasyczna,0.001205099979415536,1184,1516,4
jednostajny,100,2,filtracja,0.0002725999802350998,266,400,4
jednostajny,100,2,punkt_idealny,0.0003104000352323055,135,242,4
jednostajny,100,2,klasyczna,0.0022217000368982553,2130,2991,3
jednostajny,100,2,filtracja,0.00023370003327727318,223,339,3
jednostajny,100,2,punkt_idealny,0.00029250001534819603,105,201,3
jednostajny,100,2,klasyczna,0.002230099984444678,1917,2400,5
jednostajny,100,2,filtracja,0.0003491999814286828,319,486,5
jednostajny,100,2,punkt_idealny,0.0003127999370917678,125,225,5
jednostajny,100,2,klasyczna,0.001843599951826036,1786,2525,7
jednostajny,100,2,filtracja,0.00032810005359351635,317,475,7
jednostajny,100,2,punkt_idealny,0.0003352999920025468,135,250,7
jednostajny,100,2,klasyczna,0.001785700093023479,1708,2266,3
jednostajny,100,2,filtracja,0.00022489996626973152,211,325,3
jednostajny,100,2,punkt_idealny,0.00029500003438442945,111,216,3
jednostajny,100,2,klasyczna,0.001485800021328032,1436,1833,5
jednostajny,100,2,filtracja,0.0002463000128045678,239,357,5
jednostajny,100,2,punkt_idealny,0.00029710005037486553,123,230,5
jednostajny,100,2,klasyczna,0.0017847999697551131,1737,2338,7
jednostajny,100,2,filtracja,0.0003157999599352479,301,460,7
jednostajny,100,2,punkt_idealny,0.0003312999615445733,140,255,7
jednostajny,100,2,klasyczna,0.0013464000076055527,1284,1761,6
jednostajny,100,2,filtracja,0.000337099889293313,322,479,6
jednostajny,100,2,punkt_idealny,0.0003445000620558858,140,257,6
jednostajny,100,2,klasyczna,0.001534900045953691,1492,1937,4
jednostajny,100,2,filtracja,0.00023229990620166063,224,341,4
jednostajny,100,2,punkt_idealny,0.0003092000260949135,118,224,4
jednostajny,100,2,klasyczna,0.001635099994018674,1573,1973,9
jednostajny,100,2,filtracja,0.000367600005120039,345,510,9
jednostajny,100,2,punkt_idealny,0.00032970006577670574,145,254,9
jednostajny,100,2,klasyczna,0.001409200020134449,1352,1757,7
jednostajny,100,2,filtracja,0.00030869990587234497,293,435,7
jednostajny,100,2,punkt_idealny,0.00032160000409930944,136,248,7
jednostajny,100,2,klasyczna,0.0010055999737232924,976,1255,4
jednostajny,100,2,filtracja,0.00022789998911321163,218,328,4
jednostajny,100,2,punkt_idealny,0.0002976000541821122,110,208,4
jednostajny,100,2,klasyczna,0.0013557999627664685,1312,1685,6
jednostajny,100,2,filtracja,0.0002978000557050109,282,425,6
jednostajny,100,2,punkt_idealny,0.00033930002246052027,147,247,6
jednostajny,100,2,klasyczna,0.0019127000123262405,1855,2451,7
jednostajny,100,2,filtracja,0.0003063000040128827,293,441,7
jednostajny,100,2,punkt_idealny,0.00031809997744858265,144,247,7
jednostajny,100,2,klasyczna,0.002039099927060306,1908,2637,7
jednostajny,100,2,filtracja,0.00036419997923076153,335,505,7
jednostajny,100,2,punkt_idealny,0.00035800004843622446,154,278,7
jednostajny,100,2,klasyczna,0.0013698999537155032,1330,1700,5
jednostajny,100,2,filtracja,0.0002634000265970826,249,375,5
jednostajny,100,2,punkt_idealny,0.0003370000049471855,157,254,5
jednostajny,100,2,klasyczna,0.0013412999687716365,1310,1694,6
jednostajny,100,2,filtracja,0.0002661000471562147,230,339,6
jednostajny,100,2,punkt_idealny,0.00029969995375722647,118,219,6
